Combination,a2,cN2,cE2,mt2,d2,j2,e2
1,0.4,0.2,0.1,0.1,0,0.01,0.19
2,0.4,0.2,0.1,0.05,0,0.01,0.24
3,0.4,0.2,0.1,0.01,0,0.01,0.28
4,0.4,0.2,0.1,0.005,0,0.01,0.285
5,0.4,0.2,0.1,0.001,0,0.01,0.289
6,0.2,0.2,0.1,0.1,0,0.01,0.39
7,0.2,0.2,0.1,0.01,0,0.01,0.48
8,0.2,0.2,0.1,0.001,0,0.01,0.489
9,0.55,0.2,0.1,0.1,0,0.01,0.04
10,0.55,0.2,0.1,0.01,0,0.01,0.13
11,0.55,0.2,0.1,0.001,0,0.01,0.139
12,0.1,0.2,0.1,0.1,0,0.01,0.49
13,0.1,0.2,0.1,0.01,0,0.01,0.58
14,0.1,0.2,0.1,0.001,0,0.01,0.589
15,0.4,0.2,0.1,0,0,0,0.3
16,0.4,0.2,0.1,0.05,0,0,0.25